"Issue #","Title","State","Author","Assignees","Type labels","Milestone","Created","Commented","Total comments","Positive reactions","Negative reactions","Participants"
9,"Error in `040-node-manager/hooks/get_crds.go` hook","CLOSED","Nitive","konstantin-axenov","",,"2021-07-09","2021-07-09",4,0,0,3
14,"Scaleway cloud provider support","OPEN","imcitius","","feature-request",,"2021-07-28","",0,10,0,11
15,"Linode cloud provider support","OPEN","imcitius","","feature-request",,"2021-07-28","",0,5,0,6
16,"Add centos8/el8 support, including RockyLinux/AlmaLinux/OracleLinux","OPEN","admin5-southbridge","","feature-request",,"2021-07-28","",0,4,0,6
17,"Add Debian support","OPEN","imcitius","","feature-request",,"2021-07-28","",0,11,0,11
18,"Add ability to specify custom email for ClusterIssuers","CLOSED","Nitive","","",,"2021-07-28","2021-07-29",2,0,0,3
19,"Opennebula support","OPEN","CRASH-Tech","","feature-request",,"2021-07-28","",0,2,0,3
20,"Digital Ocean Support","OPEN","deman4ik","","feature-request",,"2021-07-28","",0,13,0,14
21,"Civo cloud provider support","OPEN","saiyam1814","","feature-request",,"2021-07-29","",0,0,0,2
22,"Proxmox VE support","OPEN","cs8w","","feature-request",,"2021-07-29","",0,8,0,10
23,"Hetzner Cloud Support","OPEN","7zip-dev","","feature-request",,"2021-07-29","",0,22,0,23
24,"ARM64 support","OPEN","diafour","","feature-request",,"2021-07-29","",0,14,0,18
25,"Failed to discover node_ip but it's required for cluster bootstrap or static cluster nodes","CLOSED","Born2Bake","","",,"2021-07-29","2021-07-29",2,0,0,1
26," Bad sudo password, exiting. TODO handle this correctly.","CLOSED","mortician2010","","",,"2021-07-30","2021-07-30",2,0,0,2
27,"Failed to stop kubelet.service: Unit kubelet.service not loaded.","OPEN","mortician2010","","question",,"2021-07-30","2021-08-02",8,2,0,5
28,"Oracle Cloud Support","OPEN","7zip-dev","","feature-request",,"2021-07-31","",0,8,0,9
29,"Consider running kubernetes-api-proxy as a static pod","OPEN","nabokihms","","enhancement",,"2021-08-01","2021-09-08",1,1,0,2
30,"Cluster operators (prometheus-operator) should not conflict with user-deployed operators","CLOSED","zuzzas","nabokihms","enhancement",,"2021-08-03","2021-09-01",1,2,0,5
32,"No extended monitoring is deployed on EE cluster (alpha channel)","CLOSED","Nitive","","bug",,"2021-08-04","2021-08-13",2,0,0,2
34,"Alerts are too sensitive when vanilla Alertmanager is used","OPEN","Nitive","","enhancement",,"2021-08-06","2021-08-06",1,3,0,4
35,"Upmeter scheduler monitoring shouldn't fail on pod deletion timeout","CLOSED","Nitive","shvgn","",,"2021-08-08","",0,0,0,2
40,"Bootstrap script error with yandex cloud provider","CLOSED","drudrum","","",,"2021-08-10","2021-08-11",3,0,0,3
41,"[dhctl] Properly version","OPEN","zuzzas","","enhancement",,"2021-08-11","",0,0,0,2
43,"[terraform-manager] exporter does not catch a vm status","OPEN","nabokihms","","enhancement",,"2021-08-16","",0,0,0,1
44,"[go_lib] issue new certs on domain change ","CLOSED","nabokihms","nabokihms","",,"2021-08-18","2021-11-11",1,0,0,1
45,"[cloud-provider-yandex] Cloud controller manager does not delete a target group for LB","CLOSED","nabokihms","31337Ghost","bug",,"2021-08-19","2021-08-19",2,0,0,3
46,"smoke-mini prevents cluster-autoscaler downscale","OPEN","yalosev","","bug",,"2021-08-20","2021-12-14",1,1,0,4
47,"[monitoring-kubernetes-control-plane] Control plane proxy hangs","OPEN","konstantin-axenov","","bug",,"2021-08-20","",0,0,0,1
48,"[ingress-nginx] Support auto reload for Geoip2","OPEN","nabokihms","","enhancement",,"2021-08-20","",0,0,0,1
49,"CII Best Practices Badge Program","OPEN","nabokihms","","enhancement",,"2021-08-20","",0,0,0,1
50,"[global] Provide robots.txt for all deckhouse components","OPEN","nabokihms","","enhancement",,"2021-08-20","",0,0,0,1
51,"[user-authn] Add ability to disable kubeconfig-generator for published API","OPEN","nabokihms","","enhancement",,"2021-08-20","2021-12-09",2,0,0,1
52,"[dhctl] Converge does not update the node template settings for a node group","OPEN","nabokihms","","bug",,"2021-08-20","",0,0,0,1
53,"[prometheus] Option to add extra labels to alerts","OPEN","nabokihms","","enhancement",,"2021-08-20","",0,0,0,1
54,"[upmeter] Deckhouse queue stuck after change of default storage class","CLOSED","konstantin-axenov","shvgn","bug","v1.26.0","2021-08-20","2021-10-19",1,0,0,3
55,"[testing] Check that Deckhouse meets security standards from NSA and CISA guidance","OPEN","nabokihms","","enhancement",,"2021-08-23","2021-09-30",2,1,0,2
56,"[global] Number of the serviceaccount stale tokens is increasing","OPEN","nabokihms","","refactoring",,"2021-08-24","",0,0,0,1
57,"[global] kube-rbac-proxy tls handshake error","OPEN","nabokihms","","bug",,"2021-08-24","",0,0,0,1
58,"[candi] Add ability to flexible nodes configuration","OPEN","nabokihms","yalosev","enhancement","v1.29.0","2021-08-24","2021-11-22",1,0,0,5
59,"[prometheus] Some container restart status for pods during deploy","CLOSED","nabokihms","nabokihms","bug","v1.27.0","2021-08-24","2021-11-15",2,6,0,9
60,"[cloud-provider-*] ReclaimPolicy for storageClass","OPEN","nabokihms","","enhancement",,"2021-08-24","2021-12-14",2,0,0,3
61,"[bashible] kubernetes-api-proxy checks for new hosts too quick","OPEN","nabokihms","","enhancement",,"2021-08-24","",0,0,0,1
62,"[ingress-nginx] Helm intersections","CLOSED","nabokihms","yalosev","bug","v1.25.0","2021-08-24","2021-09-08",1,0,0,2
63,"[monitoring-kubernetes] Node PodCidr cluster capacity alert","CLOSED","nabokihms","RomanenkoDenys","enhancement","v1.26.0","2021-08-24","2021-09-20",1,0,0,2
64,"[dhctl] When converging control-plane nodes wait until control-plane-manager becomes ready","CLOSED","nabokihms","","enhancement",,"2021-08-24","2021-11-09",1,0,0,2
65,"[cni-flannel] podNetworkMode migration","CLOSED","nabokihms","vitaliy-sn","enhancement",,"2021-08-24","2021-09-27",1,0,0,3
66,"[upmeter] Server side localization","OPEN","nabokihms","","refactoring",,"2021-08-24","",0,0,0,1
67,"[monitoring-kubernetes-control-plane] Use kube-rbac-proxy instead of kube-ca-auth-proxy","OPEN","nabokihms","","refactoring",,"2021-08-24","",0,0,0,1
68,"[candi] Changing defaultCri in ClusterConfiguration is destructive for single master clusters","CLOSED","nabokihms","RomanenkoDenys","enhancement,good-first-issue","v1.26.0","2021-08-24","2021-10-19",1,0,0,2
69,"[dhctl] Plain logboek logs in bashible steps","CLOSED","nabokihms","name212","refactoring","v1.26.0","2021-08-24","2021-09-17",1,0,0,3
70,"[user-authn] DexAuthenticator allows to deploy registry secret to any namespace","CLOSED","nabokihms","","bug",,"2021-08-24","2021-12-08",1,0,0,1
71,"[monitoring-kubernetes] Events exporter","CLOSED","nabokihms","nabokihms","enhancement","v1.27.0","2021-08-24","2021-11-18",2,13,0,15
72,"[ingress-nginx] Automatically collect cloudflare and qurator addresses","OPEN","nabokihms","","enhancement",,"2021-08-24","",0,0,0,1
73,"[cloud-provider-yandex] Add placement_policy spec support","OPEN","nabokihms","","enhancement",,"2021-08-24","",0,0,0,1
74,"image-availability-exporter alerts get stuck for up to an hour","OPEN","zuzzas","","bug",,"2021-08-24","",0,0,0,1
75,"Add a linter that validates exported fields in a FilterFunc in Go hooks","CLOSED","zuzzas","yalosev","enhancement","v1.26.0","2021-08-24","2021-09-20",1,0,0,3
76,"Provide a way to block access to kubeconfig generator to unauthorized users","CLOSED","zuzzas","","feature-request",,"2021-08-24","2021-08-24",1,0,0,2
77,"Manage ingress-nginx cipher directly and do not rely on defaults","OPEN","zuzzas","","enhancement",,"2021-08-24","2021-08-24",1,0,0,2
78,"[node-manager] Rolling update strategy for disruptive updates","OPEN","nabokihms","","enhancement",,"2021-08-24","",0,1,0,2
79,"[user-authn] Do not deploy dex without users/dexproviders in cluster","CLOSED","nabokihms","yalosev","enhancement","v1.25.0","2021-08-24","2021-09-02",1,0,0,2
80,"[global] OrphanSecrets automatic cleanup","OPEN","nabokihms","31337Ghost","enhancement","v1.29.0","2021-08-25","2021-09-18",2,2,0,3
81,"[node-exporter] kubelet-eviction-exporter is not getting killed","CLOSED","nabokihms","31337Ghost","bug","v1.25.0","2021-08-25","2021-09-09",1,0,0,2
82,"[ingress-nginx] provide proper openapi-test-cases.yaml","OPEN","nabokihms","","refactoring",,"2021-08-25","",0,0,0,1
83,"[bashible] get rid of message of the day (motd)","OPEN","nabokihms","","",,"2021-08-25","",0,1,0,2
84,"[bashible] Duplicate repositories on CentOS","CLOSED","nabokihms","","",,"2021-08-25","2021-09-02",1,0,0,3
85,"[node-manager] NodeUser multiple ssh keys","OPEN","nabokihms","","enhancement",,"2021-08-25","",0,0,0,1
86,"[flant-integration] check kubeall hosts availability and alert on fail","OPEN","nabokihms","","enhancement",,"2021-08-25","",0,0,0,1
87,"[deckhouse] alert if config validation fails","OPEN","nabokihms","","feature-request,good-first-issue",,"2021-08-25","",0,0,0,1
88,"[kube-dns] kube-rbac-proxy hangs with the broken pipe error","CLOSED","nabokihms","","",,"2021-08-25","2021-09-09",1,0,0,1
89,"[global] use git commits when building applications from the source code","OPEN","nabokihms","","enhancement",,"2021-08-25","",0,0,0,1
90,"[cloud-provider-aws] Add graviton nodes availability ","OPEN","pod2metra","","feature-request",,"2021-08-27","2021-08-27",1,3,0,5
91,"[terraform-state-exporter] sends invalid metrics after delete static NodeGroup","CLOSED","vitaliy-sn","name212","bug","v1.25.0","2021-08-27","2021-09-08",2,2,0,6
92,"[dhctl] Accept bastion host address from terraform","CLOSED","nabokihms","name212","enhancement","v1.26.0","2021-08-30","2021-10-21",1,0,0,4
93,"Add Validating Admission Webhook to operator-prometheus module","CLOSED","zuzzas","31337Ghost","enhancement","v1.26.0","2021-08-31","2021-09-27",1,0,0,5
94,"[extended-monitoring] lazy reaction on the new namespace annotated","CLOSED","31337Ghost","nabokihms","bug",,"2021-08-31","2021-08-31",1,0,0,2
95,"[dhctl] converge of control-plane nodes requires manual actions if a node needs to be recreated","OPEN","31337Ghost","","bug",,"2021-08-31","",0,0,0,2
96,"[global] Add lintignore files support for modules","OPEN","shvgn","","feature-request",,"2021-08-31","",0,0,0,2
97,"""remove_csi_taints"" did not execute even though it ought to","OPEN","zuzzas","","bug",,"2021-08-31","",0,0,0,1
98,"[control-plane-manager] Add ability to encrypt etcd data","OPEN","nabokihms","","feature-request",,"2021-09-01","",0,0,0,1
99,"[prometheus] prometheus_disk hangs on kubectl execution","OPEN","nabokihms","","bug",,"2021-09-01","",0,0,0,1
100,"[cloud-provider-aws] Check ami is available in desired availability zone","OPEN","nabokihms","","enhancement",,"2021-09-01","",0,0,0,1
101,"[global] check images of new versions for used components","OPEN","nabokihms","","feature-request",,"2021-09-01","",0,0,0,1
102,"[bashible] Alert about changed hostname on a node","OPEN","nabokihms","","enhancement",,"2021-09-01","",0,0,0,1
103,"[ingress-nginx] Add cache feature","OPEN","nabokihms","","enhancement",,"2021-09-01","",0,16,0,15
104,"[dhctl] Ask ssh-key password only once if not necessary","OPEN","nabokihms","","enhancement",,"2021-09-01","",0,0,0,1
105,"[user-authn] Proper readiness-probe for DexAuthenticator","CLOSED","nabokihms","name212","enhancement","v1.25.0","2021-09-01","2021-09-10",1,0,0,4
106,"[prometheus] Preserve time-range on switching between dashboards from the Main folder","CLOSED","nabokihms","shvgn","enhancement","v1.25.0","2021-09-01","2021-09-08",2,0,0,4
107,"[node-manager] nodeSelector for NodeUser","OPEN","nabokihms","","feature-request",,"2021-09-01","",0,0,0,1
108,"[prometheus] Throttling graph on Namespaces dashboard has incorrect values","CLOSED","nabokihms","name212","bug","v1.25.0","2021-09-01","2021-09-09",1,0,0,4
109,"[user-authn] Prefix groups from oidc","OPEN","nabokihms","","enhancement",,"2021-09-01","",0,0,0,1
110,"[node-manager] checksum for each Machine object","OPEN","nabokihms","","enhancement",,"2021-09-01","",0,0,0,1
111,"[cloud-provider-*] Unify disk size","OPEN","nabokihms","31337Ghost","enhancement",,"2021-09-01","",0,0,0,4
112,"[control-plane-manager] No root certificates for kube-apiserver on CentOS","CLOSED","nabokihms","RomanenkoDenys","bug","v1.26.0","2021-09-01","2021-09-20",1,0,0,3
